Source,Category,Sentence
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you are a U.S. government entity, or if the Terms become subject to the Federal Acquisition Regulations (FAR), then, the Services and Software, provided under the Terms are “Commercial Item(s),” as that term is defined at 48 C.F.R."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,The Commercial Computer Software and Commercial Computer Software Documentation are being licensed to U.S. Federal Government End Users (A) only as Commercial Items; and (B) with only those rights as are granted to all other end users pursuant to the terms and conditions of the Terms.
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"Unpublished rights are reserved under the laws of the United States- Adobe Inc., 345 Park Avenue, San Jose, CA 95110-2704, USA."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"Neither party will be liable to the other for any delay or failure to perform any obligation (other than your payment obligations to Adobe) under the Terms if the delay or failure is due to unforeseen events, which occur after the effectiveness of the Terms and which are beyond the reasonable control of the parties, such as strikes, blockade, war, terrorism, riots, natural disasters, refusal of license by the government or other governmental agencies, in so far as such an event prevents or delays the affected party from fulfilling its obligations and such party is not able to prevent or remove the force majeure at reasonable cost."
2020-03_Adobe_ToS_USA.pdf,Irrelevant,"We respect the Intellectual Property Rights of others, and we expect our users to do the same."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,We will respond to clear notices of copyright infringement consistent with the Digital Millennium Copyright Act (“DMCA”).
2020-03_Adobe_ToS_USA.pdf,Irrelevant,You can learn more about Adobe’s IP Takedown policies and practices here.
2022-08_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside in North America (inclusive of the United States, Canada, Mexico, United States territories and possessions, and United States military bases, wherever located), your relationship is with Adobe Inc., a United States company, and the Terms are governed by, and construed and interpreted in accordance with, the laws of the State of California, U.S.A., unless preempted by U.S. federal law, without regard to conflict of law rules."
2022-08_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside outside of North America, your relationship is with Adobe Systems Software Ireland Limited, and the Terms are governed by, and construed and interpreted in accordance with, the laws of Ireland, unless preempted by local law."
2022-08_Adobe_ToS_USA.pdf,1. Technical Blocking,"Our Services and Software are licensed, not sold, to you, and also may be subject to one or more of the additional terms below (“Additional Terms”)."
2022-08_Adobe_ToS_USA.pdf,1. Technical Blocking,"If there is any conflict between the terms in the General Terms and the Additional Terms, then the Additional Terms govern in relation to those Services or Software."
2022-08_Adobe_ToS_USA.pdf,2. Account Action,Adobe may provide your personal information to such Business.
2022-08_Adobe_ToS_USA.pdf,2. Account Action,"If you are a Business User, you agree that, due to your receipt of Entitlements from such Business, (1) Adobe may provide such Business with the ability to access, use, remove, retain, and control your Business Profile and all Content therein whether uploaded or imported before or after the date the Terms were last updated;"
2022-08_Adobe_ToS_USA.pdf,3. Price Discrimination,"If you are a Business User with Entitlements from multiple Businesses, you may have separate Business Profiles associated with each Business."
2022-08_Adobe_ToS_USA.pdf,3. Price Discrimination,"As a Business User, you may have different agreements with or obligations to a Business, which may affect your Business Profile or your Content."
2022-08_Adobe_ToS_USA.pdf,5. Legitimate Portability,"If you did not receive Entitlements from a Business (e.g., you subscribed to a Creative Cloud for individuals plan and received Entitlements through this plan), then (a) you are a “Personal User”;"
2022-08_Adobe_ToS_USA.pdf,5. Legitimate Portability,"If you receive Entitlements through a personal plan and from a Business, then you are both a Personal User and a Business User."
2022-08_Adobe_ToS_USA.pdf,Account Action,"If you do not want a Business to access, use, remove, retain, or control an account or profile, then do not use a Business email address with that account."
2022-08_Adobe_ToS_USA.pdf,Account Action,"Unless otherwise noted, the amended Terms will be effective immediately, and your continued use of our Services and Software confirm your acceptance of the changes."
2022-08_Adobe_ToS_USA.pdf,Account Action,"If you do not agree to the amended Terms, you must stop using our Services and Software and, if applicable, cancel your subscription."
2022-08_Adobe_ToS_USA.pdf,Regulatory Compliance,We process and store information in the U.S. and other countries.
2022-08_Adobe_ToS_USA.pdf,Technical Blocking,"By using our Services and Software, you authorize Adobe to transfer your personal information across national borders and to other countries where Adobe and its partners operate."
2022-08_Adobe_ToS_USA.pdf,Technical Blocking,"We may create reasonable technical limits, such as limits on file size, storage space, processing capacity, and other attributes."
2022-08_Adobe_ToS_USA.pdf,Account Action,We may suspend the Services until you are within the storage space limit associated with your account.
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"At the end of this 30-day transition period, we reserve the right to delete your Content."
2022-08_Adobe_ToS_USA.pdf,Legitimate Portability,You should download any Content that you have stored in the Services before your license ends.
2022-08_Adobe_ToS_USA.pdf,Content Licensing,We may host user-generated content from our users.
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"If you access our Services, you may come across user-generated content that you find offensive or upsetting."
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"You cannot distribute Sample Files in any way that allows a third party to use, download, extract, or access the Sample Files as a stand-alone file, and you cannot claim any rights in the Sample Files."
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"Unless documentation or specific licenses (including but not limited to Additional Terms) state otherwise, we grant you a personal, non-exclusive, non-sublicensable (except if you are a Business, then sublicensable only to your Business Users), and non-transferable license to use the Content Files to create your end use (i.e., the derivative application or product authored by you) into which the Content Files, or derivations thereof, are embedded for your use (“End Use”)."
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"You may reproduce and distribute Content Files only in connection with your End Use, however, under no circumstances can you distribute the Content Files on a stand-alone basis, outside of the End Use."
2022-08_Adobe_ToS_USA.pdf,5. Legitimate Portability,You may install and use the NFR Version only for the period and purposes stated when we provide the NFR Version.
2022-08_Adobe_ToS_USA.pdf,2. Account Action,"By uploading a public profile or public project on the Services, you agree that the public information may be included in Talent Search results."
2022-08_Adobe_ToS_USA.pdf,5. Legitimate Portability,You must not use any materials you produce with the NFR Version for any commercial purposes.
2022-08_Adobe_ToS_USA.pdf,4. Content Licensing,"For any font or font file you upload or submit to the Services and Software (“Creative Cloud Customer Fonts”) you represent and warrant that you have all necessary rights to allow us to use, reproduce, display, host, and distribute the Creative Cloud Customer Fonts through the Services and Software for your use."
2022-08_Adobe_ToS_USA.pdf,4. Content Licensing,You retain all rights to the unmodified Creative Cloud Customer Fonts.
2022-08_Adobe_ToS_USA.pdf,Content Licensing,You may install and use the Educational Version only in the country where you are qualified as an educational user.
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"If you reside in the EEA, then the word “country” in the prior sentence means the EEA."
2022-08_Adobe_ToS_USA.pdf,Regulatory Compliance,You are responsible for complying with all applicable third-party terms.
2022-08_Adobe_ToS_USA.pdf,Content Licensing,"We reserve the right (but do not have the obligation) to remove Content or restrict access to Content, Services, and Software if any of your Content is found to be in violation of the Terms."
